Roasting Time (h),NH4Cl dose (g/g),Leaching Solvent: HCL (M),Roasting Temperature (°C),Cu Extraction (%),Silver Extraction (%),Gold Extraction (%)
3,2,2,200,36,31,27
3,2,2,220,63,56,42
3,2,2,240,81,75,70
3,2,2,260,97,86,73
3,2,2,280,98,84,74
3,2,2,300,97,86,76
1,2,2,260,52,36,32
1.5,2,2,260,67,46,43
2,2,2,260,82,65,52
2.5,2,2,260,98,86,71
3,2,2,260,97,85,76
3.5,2,2,260,98,84,72
2.5,1,2,260,68,52,44
2.5,1.5,2,260,85,63,58
2.5,2,2,260,98,84,76
2.5,2.5,2,260,96,85,77
2.5,3,2,260,97,86,76
2.5,2,0,260,92,28,22
2.5,2,1,260,98,61,53
2.5,2,2,260,97,88,77
2.5,2,3,260,98,88,77
